full_jibun_addr,station,distance_km
부산광역시 좌천동 831-31,부산진(동해선),0.43274790205415214
부산광역시 좌천동 1168,좌천,0.2875288255664535
부산광역시 범일동 1315-3,범일,0.35318290630625226
부산광역시 범일동 830-90,문현,0.2860780697906878
부산광역시 범일동 830-90,범일,0.4516892119205127
부산광역시 초량동 1056-36,부산역,0.2574454711902202
부산광역시 초량동 1056-71,부산역,0.26614744086769077
부산광역시 초량동 100-11,초량,0.3083075414748739
부산광역시 초량동 1143-8,부산진,0.35155077922470573
부산광역시 좌천동 808,좌천,0.3835689998727465
부산광역시 좌천동 808,부산진(동해선),0.42405702525644007
부산광역시 좌천동 728-3,좌천,0.28829298945227966
부산광역시 범일동 62-720,범일,0.29837780405525677
부산광역시 범일동 825-7,문현,0.4659679805539596
부산광역시 범일동 830-100,문현,0.23102253548019971
부산광역시 초량동 576-1,부산역,0.14310975254200992
부산광역시 초량동 1056-7,부산역,0.2154337058590259
부산광역시 초량동 1057-57,부산역,0.3089818121590971
부산광역시 좌천동 741-1,좌천,0.4223784727686611
부산광역시 좌천동 734-4,좌천,0.2253123869578101
부산광역시 좌천동 737-1,좌천,0.36561742231372835
부산광역시 초량동 424-3,부산역,0.29564005599857485
부산광역시 초량동 598-18,부산역,0.27644128521394584
부산광역시 초량동 110-37,초량,0.3622647544463104
부산광역시 초량동 106-11,초량,0.26735229692794416
부산광역시 좌천동 832-1,부산진(동해선),0.48244694998174353
부산광역시 좌천동 808-76,좌천,0.3979278984467807
부산광역시 좌천동 808-76,부산진(동해선),0.4609999880816702
부산광역시 초량동 591-4,부산역,0.1933345463488593
부산광역시 초량동 110-41,초량,0.3387290283070899
부산광역시 초량동 89-6,초량,0.22106575510285634
부산광역시 초량동 1053-15,부산역,0.23715674573643145
부산광역시 좌천동 630,좌천,0.34590283375690056
부산광역시 좌천동 630,부산진(동해선),0.4182501439118965
부산광역시 초량동 432,부산역,0.2785772649466211
부산광역시 범일동 1386-2,좌천,0.3693159745407774
부산광역시 수정동 1029-56,초량,0.3784375518336675
부산광역시 초량동 1056-42,부산역,0.24082324802279367
부산광역시 초량동 1057-34,부산역,0.2832041063580787
부산광역시 초량동 994-428,부산역,0.43103093989197394
부산광역시 초량동 87-8,초량,0.46365747604930085
부산광역시 초량동 1056-82,부산역,0.27783446657313754
부산광역시 좌천동 784-3,좌천,0.23309553498009883
부산광역시 초량동 1143-15,부산진,0.40299235817260787
부산광역시 초량동 1143-15,초량,0.4913449665829707
부산광역시 초량동 588-17,부산역,0.18720157132929915
부산광역시 초량동 588-10,부산역,0.1894670008476918
부산광역시 초량동 1043-8,부산역,0.24166536995487733
부산광역시 초량동 591-3,부산역,0.20822661323570957
부산광역시 초량동 106-10,초량,0.2525260036668908
부산광역시 수정동 1006-14,부산진,0.4621708856698646
부산광역시 수정동 1006-14,초량,0.47321466362339465
부산광역시 좌천동 812-5,부산진,0.4494170675054369
부산광역시 좌천동 812-5,부산진(동해선),0.29858688546717616
부산광역시 좌천동 832-5,부산진(동해선),0.46610149697638104
부산광역시 초량동 91-12,초량,0.2524497104819981
부산광역시 초량동 110-2,초량,0.35960503512863895
부산광역시 범일동 1368-5,범일,0.4306163073357006
부산광역시 범일동 1368-5,좌천,0.4735528686191255
부산광역시 초량동 79-3,초량,0.12771738652084919
부산광역시 초량동 994-60,부산역,0.45088172173354096
부산광역시 범일동 830-296,문현,0.24047277223334212
부산광역시 초량동 1166-1,초량,0.15507225890268939
부산광역시 초량동 106-7,초량,0.24885572536375875
부산광역시 초량동 1051-22,부산역,0.20986740127854212
부산광역시 초량동 1053-22,부산역,0.24879437206210742
부산광역시 좌천동 187-5,좌천,0.16542369879602517
부산광역시 범일동 830-77,문현,0.42662076101055474
부산광역시 범일동 830-77,범일,0.32991967129817173
부산광역시 초량동 1165-11,초량,0.0882960097115363
부산광역시 초량동 1165-1,초량,0.1195478410638422
부산광역시 좌천동 476-1,좌천,0.0718858393752728
부산광역시 범일동 658-6,범일,0.2503236101666016
부산광역시 수정동 290,부산진,0.20946264835324138
부산광역시 수정동 290,부산진(동해선),0.3533224656146304
부산광역시 수정동 101-6,부산진,0.2728980500763253
부산광역시 수정동 101-6,부산진(동해선),0.47722924208380296
부산광역시 초량동 1156-4,부산진,0.4293130149678955
부산광역시 초량동 1156-4,초량,0.4359259030675081
부산광역시 수정동 1-74,부산진,0.3346121857552674
부산광역시 수정동 1-74,부산진(동해선),0.17435340205795483
부산광역시 좌천동 705-1,좌천,0.306840879340521
부산광역시 대교동1가 1,남포,0.4164407252783518
부산광역시 양정동 525,양정,0.33748489946405413
부산광역시 양정동 273-1,양정,0.3577845586865283
부산광역시 양정동 270-3,양정,0.3654965114952558
부산광역시 양정동 370-4,양정,0.09830654558816715
부산광역시 양정동 406-4,양정,0.15964236975507987
부산광역시 전포동 878-26,서면,0.47542228145590126
부산광역시 전포동 878-26,부전,0.18676892048756563
부산광역시 전포동 878-26,부전,0.47924790826342295
부산광역시 전포동 587,부전,0.1417794207786249
부산광역시 전포동 587,부전,0.46610163837806506
부산광역시 전포동 172-3,부전,0.27699152574583713
부산광역시 전포동 33-9,부전,0.42844162555592297
부산광역시 전포동 683-11,서면,0.45469807619408836
부산광역시 전포동 683-11,전포,0.3276054397468661
부산광역시 전포동 181-1,부전,0.31731551875437186
부산광역시 전포동 362-64,전포,0.27072128403675094
부산광역시 전포동 362-62,전포,0.1999717961271216
부산광역시 전포동 595-20,부전,0.16133290058671368
부산광역시 전포동 892-21,전포,0.35993446010669367
부산광역시 전포동 892-21,범내골,0.4866700590738978
부산광역시 부전동 410-13,부암,0.44511795422105815
부산광역시 부전동 417-8,부암,0.41088403233574866
부산광역시 부전동 417-8,서면,0.4396285815837794
부산광역시 부전동 410-14,부암,0.4312985724801489
부산광역시 범천동 944-1,범내골,0.3423741949880231
부산광역시 범천동 944-1,범일,0.09439915308206853
부산광역시 범천동 875-24,범내골,0.13589254907668583
부산광역시 범천동 875-24,범일,0.19558921926033476
부산광역시 범천동 1054,부암,0.1883062622770138
부산광역시 범천동 1057-2,부암,0.10868183012723277
부산광역시 범천동 1256-2,범내골,0.43398262722443814
부산광역시 범천동 1256-2,범일,0.40666760585295747
부산광역시 범천동 859-16,범내골,0.2926543711543402
부산광역시 당감동 109-1,가야,0.12964519758731638
부산광역시 당감동 109-4,가야,0.11352553481181839
부산광역시 당감동 123,가야,0.23938809455507654
부산광역시 가야동 588,동의대,0.4519784317979188
부산광역시 가야동 385-2,가야,0.3677351926289716
부산광역시 가야동 50-1,가야,0.3268629985386746
부산광역시 가야동 160,동의대,0.3842813520566291
부산광역시 가야동 56-2,동의대,0.43838224152753535
부산광역시 개금동 455,개금,0.32616834189889315
부산광역시 개금동 596,개금,0.3452726952266894
부산광역시 개금동 515-6,개금,0.21674082711985954
부산광역시 양정동 272-15,양정,0.29426291398140314
부산광역시 양정동 96-24,양정,0.23940070339827468
부산광역시 양정동 271-2,양정,0.34182006399822146
부산광역시 양정동 272-18,양정,0.2714332920653815
부산광역시 전포동 194-14,부전,0.46311838938133276
부산광역시 전포동 876-4,부전,0.08030593591995924
부산광역시 전포동 876-4,부전,0.41545851371832726
부산광역시 전포동 33-433,부전,0.496051090214969
부산광역시 부전동 505-6,부암,0.3117482819594226
부산광역시 부전동 505-6,서면,0.46923717569231044
부산광역시 부전동 410-9,부암,0.41982783320881517
부산광역시 부전동 674-1,부암,0.2558146652029081
부산광역시 범천동 1291-18,범내골,0.4709780852331583
부산광역시 범천동 1291-18,범일,0.21690628710405221
부산광역시 범천동 1589-27,부암,0.07185446993390429
부산광역시 범천동 851-1,국제금융센터·부산은행,0.44039206669171355
부산광역시 범천동 851-1,범내골,0.26585701048108884
부산광역시 범천동 851-1,범일,0.4162200564433332
부산광역시 부암동 731,부암,0.46431150638835356
부산광역시 가야동 385,가야,0.38280131300607156
부산광역시 가야동 698,동의대,0.17666954219347333
부산광역시 가야동 55,가야,0.4276876911623646
부산광역시 개금동 197-5,개금,0.4534115600987039
부산광역시 개금동 177-283,개금,0.2116248238688948
부산광역시 개금동 523-11,개금,0.1815143975802851
부산광역시 양정동 401-8,양정,0.4284653577501775
부산광역시 양정동 350-3,양정,0.16868581517618966
부산광역시 양정동 406-6,양정,0.11519067924967645
부산광역시 전포동 33-454,부전,0.48077397636028985
부산광역시 전포동 890-1,전포,0.18306647537470783
부산광역시 부전동 42-1,부전,0.21926536313427084
부산광역시 부전동 42-1,부전,0.1349685063495959
부산광역시 범천동 842-2,국제금융센터·부산은행,0.4084732990843742
부산광역시 범천동 842-2,범내골,0.44376878552995186
부산광역시 범천동 842-2,범일,0.4800448161792142
부산광역시 범천동 842-2,범일,0.46467345226282364
부산광역시 범천동 859-7,전포,0.4822187599886176
부산광역시 범천동 859-7,범내골,0.34694548608497694
부산광역시 당감동 1022,가야,0.4810648156601533
부산광역시 당감동 1022,부암,0.2511605246524767
부산광역시 당감동 69-4,부암,0.17689088688673493
부산광역시 가야동 159,동의대,0.35208711807858806
부산광역시 가야동 5-44,가야,0.2707752614291494
부산광역시 개금동 177-164,개금,0.3091341266730169
부산광역시 전포동 635-1,부전,0.2615907913439535
부산광역시 부전동 631,부암,0.41436201231822634
부산광역시 부전동 532-9,범내골,0.4705693519315327
부산광역시 범천동 879-2,범내골,0.25094974956389615
부산광역시 범천동 879-2,범일,0.49056613216943756
부산광역시 범천동 879-2,범일,0.08069201532951821
부산광역시 당감동 128-2,가야,0.3436433881590927
부산광역시 개금동 177-129,개금,0.25480685043245277
부산광역시 개금동 171-59,개금,0.34489805930185496
부산광역시 전포동 178-25,부전,0.34932007553171124
부산광역시 부전동 410-5,부암,0.45414118308439605
부산광역시 범천동 1119-94,부암,0.47845759076410377
부산광역시 범천동 1284-7,범내골,0.45311817440472385
부산광역시 범천동 1284-7,범일,0.2778975913031742
부산광역시 범천동 1067-39,부암,0.13803802177997435
부산광역시 전포동 684-5,서면,0.4866035177085865
부산광역시 전포동 684-5,전포,0.3075698553818163
부산광역시 전포동 344-12,전포,0.15623733593943528
부산광역시 범천동 1284-1,범내골,0.43650348675059525
부산광역시 범천동 1284-1,범일,0.29605115487725747
부산광역시 개금동 219-3,개금,0.4652198158033496
부산광역시 개금동 177-380,개금,0.3362514504938132
부산광역시 개금동 177-205,개금,0.31386247602826545
부산광역시 전포동 661-2,서면,0.40478025580182375
부산광역시 전포동 661-2,부전,0.40734757746666816
부산광역시 부전동 560-16,부암,0.15217142195726013
부산광역시 개금동 177-326,개금,0.18233040513585833
부산광역시 전포동 695-5,전포,0.03618845633023348
부산광역시 전포동 178-70,부전,0.3547018795966883
부산광역시 부전동 508-22,부암,0.26876044481727496
부산광역시 범천동 853-9,국제금융센터·부산은행,0.44850594323622867
부산광역시 범천동 853-9,범내골,0.25654187801254413
부산광역시 범천동 853-9,범일,0.4457703185167126
부산광역시 부암동 114-5,부암,0.37777766013021596
부산광역시 가야동 617-8,동의대,0.4757757237660885
부산광역시 전포동 554-2,부전,0.386557197693827
부산광역시 전포동 890-37,전포,0.1884990756699187
부산광역시 전포동 33-450,부전,0.48074472475968905
부산광역시 범천동 1252-125,범일,0.49536025215646845
부산광역시 당감동 976,부암,0.10452577416203222
부산광역시 가야동 5-43,가야,0.2564754442390743
부산광역시 가야동 5-43,부암,0.48509401992015927
부산광역시 가야동 617-1,동의대,0.4555448993287268
부산광역시 가야동 5-56,가야,0.25524248326572363
부산광역시 개금동 492-10,개금,0.06206420547873793
부산광역시 개금동 177-209,개금,0.2307063823056323
부산광역시 부전동 674,부암,0.2513721967370675
부산광역시 개금동 171-66,개금,0.35553491397808
부산광역시 양정동 319-6,양정,0.2511895918493394
부산광역시 범천동 841-303,국제금융센터·부산은행,0.4570588120551923
부산광역시 범천동 841-303,범일,0.40068933312562394
부산광역시 범천동 841-303,범일,0.4937875660080099
부산광역시 개금동 177-197,개금,0.2967331034426851
부산광역시 가야동 599-5,동의대,0.48879423324662646
부산광역시 전포동 685-5,서면,0.49535496763689346
부산광역시 전포동 685-5,전포,0.28920458583141684
부산광역시 전포동 687-21,전포,0.27342518444660596
부산광역시 범천동 1287-2,범내골,0.4727067206401429
부산광역시 범천동 1287-2,범일,0.25902850634860647
부산광역시 개금동 524-4,개금,0.13386272286833
부산광역시 양정동 145-12,시청,0.4777122356137205
부산광역시 양정동 145-12,양정,0.42673219837850673
부산광역시 전포동 553-1,부전,0.36558364350352857
부산광역시 범천동 839-18,국제금융센터·부산은행,0.4908755309509076
부산광역시 범천동 839-18,문현,0.4498469166547127
